datum,partei,sz_avr,sz_err,ci_higher,ci_lower
2013-09-27,CDU/CSU,0.43,0.02699,0.45699,0.40301
2013-09-27,SPD,0.26,0.02391,0.28391,0.23609
2013-09-27,Grüne,0.07,0.01391,0.08391,0.05609
2013-09-27,FDP,0.03,0.0093,0.0393,0.0207
2013-09-27,Linke,0.1,0.01635,0.11635,0.08365
2013-09-27,AfD,0.05,0.01188,0.06188,0.03812
2013-09-29,CDU/CSU,0.43,0.026545,0.456545,0.403455
2013-09-29,SPD,0.26,0.02352,0.28352,0.23648
2013-09-29,Grüne,0.07,0.01368,0.08368,0.05632
2013-09-29,FDP,0.03,0.009145,0.039145,0.020855
2013-09-29,Linke,0.095,0.01572,0.11072,0.07928
2013-09-29,AfD,0.055,0.0122,0.0672,0.0428
2013-10-01,CDU/CSU,0.426666666666667,0.0241466666666667,0.450813333333333,0.40252
2013-10-01,SPD,0.256666666666667,0.02134,0.278006666666667,0.235326666666667
2013-10-01,Grüne,0.0733333333333333,0.0126666666666667,0.086,0.0606666666666667
2013-10-01,FDP,0.0333333333333333,0.00865666666666667,0.04199,0.0246766666666667
2013-10-01,Linke,0.0933333333333333,0.01422,0.107553333333333,0.0791133333333333
2013-10-01,AfD,0.0533333333333333,0.0109833333333333,0.0643166666666667,0.04235
2013-10-06,CDU/CSU,0.423333333333333,0.0229466666666667,0.44628,0.400386666666667
2013-10-06,SPD,0.253333333333333,0.02021,0.273543333333333,0.233123333333333
2013-10-06,Grüne,0.0766666666666667,0.0123066666666667,0.0889733333333333,0.06436
2013-10-06,FDP,0.0366666666666667,0.00863666666666667,0.0453033333333333,0.02803
2013-10-06,Linke,0.0933333333333333,0.0135366666666667,0.10687,0.0797966666666667
2013-10-06,AfD,0.0533333333333333,0.0104166666666667,0.06375,0.0429166666666667
2013-10-09,CDU/CSU,0.433333333333333,0.0237633333333333,0.457096666666667,0.40957
2013-10-09,SPD,0.25,0.02079,0.27079,0.22921
2013-10-09,Grüne,0.0766666666666667,0.0127233333333333,0.08939,0.0639433333333333
2013-10-09,FDP,0.0333333333333333,0.00857,0.0419033333333333,0.0247633333333333
2013-10-09,Linke,0.09,0.01376,0.10376,0.07624
2013-10-09,AfD,0.0566666666666667,0.0110366666666667,0.0677033333333333,0.04563
2013-10-10,CDU/CSU,0.43,0.02406,0.45406,0.40594
2013-10-10,SPD,0.2525,0.0211375,0.2736375,0.2313625
2013-10-10,Grüne,0.0775,0.0129725,0.0904725,0.0645275
2013-10-10,FDP,0.0325,0.0085825,0.0410825,0.0239175
2013-10-10,Linke,0.09,0.0139375,0.1039375,0.0760625
2013-10-10,AfD,0.05375,0.0108975,0.0646475,0.0428525
2013-10-13,CDU/CSU,0.43,0.024085,0.454085,0.405915
2013-10-13,SPD,0.2525,0.0211575,0.2736575,0.2313425
2013-10-13,Grüne,0.08,0.013155,0.093155,0.066845
2013-10-13,FDP,0.03,0.0083025,0.0383025,0.0216975
