Zensus 9. Mai 2011;;;;;;;Deutschland
;;;;;;;Regionalschlüssel: 00
;;;;;;;
Bevölkerung nach Alter (5 Altersklassen) und Geschlecht;;;;;;;
Auszählung aus dem bereinigten Registerbestand;;;;;;;
Geschlecht;Insgesamt;Insgesamt;Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen);Alter (5 Altersklassen)
Geschlecht;Insgesamt;Insgesamt;Unter 18;18 - 29;30 - 49;50 - 64;65 und älter
Geschlecht;Anzahl;%;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
Männlich;39145941;48,8;6740581;5781592;11520095;8081342;7022331
Weiblich;41073754;51,2;6393771;5611399;11325577;8247217;9495790
;;;;;;;
Im Ausland tätige Angehörige der Bundeswehr, der Polizeibehörden und des Auswärtigen Dienstes sowie ihre dort ansässigen Familien werden ausschließlich für die Ergebnisse der regionalen Einheit "Deutschland" berücksichtigt. Die Summe der Länderergebnisse ist daher kleiner als das Bundesergebnis.
Die relativen Ergebnisse beziehen sich auf die jeweilige Teilgesamtheit des betrachteten Merkmals der jeweiligen regionalen Einheit. Die relativen Werte wurden durch Division von Ergebnissen nach Durchführung der Geheimhaltung errechnet.
;;;;;;;
;;;;;;;
© Statistische Ämter des Bundes und der Länder, 2014;;;;;;;
Vervielfältigung und Verbreitung mit Quellenangabe gestattet.;;;;;;;
