Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;;;;Deutschland
;;;;;;;;;;;;;;;;;;;;Regionalschlüssel: 00
;;;;;;;;;;;;;;;;;;;;
Bevölkerung nach Geschlecht, Alter (10-er Jahresgruppen) und Religion (ausführlich);;;;;;;;;;;;;;;;;;;;
Hochrechnung aus der Haushaltsstichprobe;;;;;;;;;;;;;;;;;;;;
Religion (ausführlich);Insgesamt;Insgesamt;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
Religion (ausführlich);Insgesamt;Insgesamt;Männlich;Männlich;Männlich;Männlich;Männlich;Männlich;Männlich;Männlich;Männlich;Weiblich;Weiblich;Weiblich;Weiblich;Weiblich;Weiblich;Weiblich;Weiblich;Weiblich
Religion (ausführlich);Insgesamt;Insgesamt;Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen);Alter (10er-Jahresgruppen)
Religion (ausführlich);Insgesamt;Insgesamt;Unter 10;10 - 19;20 - 29;30 - 39;40 - 49;50 - 59;60 - 69;70 - 79;80 und älter;Unter 10;10 - 19;20 - 29;30 - 39;40 - 49;50 - 59;60 - 69;70 - 79;80 und älter
Religion (ausführlich);Anzahl;%;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
Römisch-katholische Kirche;24869380;31,2;969780;1374940;1503120;1314910;1929970;1702510;1269890;1202440;478520;925760;1321100;1498710;1415740;2071730;1841870;1461400;1572320;1014690
Evangelische Kirche;24552110;30,8;898420;1339220;1392140;1157660;1682460;1500120;1256280;1359850;571310;871670;1309090;1443930;1297570;1969160;1740530;1562890;1891930;1307880
Evangelische Freikirchen;714360;0,9;36120;46310;44300;36160;50800;44550;26860;28520;13740;36550;46230;48210;40640;59310;52020;34810;41050;28180
Orthodoxe Kirchen;1050740;1,3;57530;54160;66510;92710;80330;58610;48400;24410;4050;53500;52280;87380;128570;91770;72970;48740;22940;5870
Jüdische Gemeinden;83430;0,1;2260;2990;5470;4100;5360;5710;5650;6210;2760;2050;2840;4160;4320;4970;5780;7340;7320;4120
Sonstige;2116460;2,7;151900;165280;152810;180460;174600;100480;77060;51090;13760;142580;156120;158560;173580;151480;105240;79660;52760;29020
Keiner ö.-r. Religionsgesellschaft zugehörig;26265880;33,0;1379650;1078480;1685940;1930000;2779240;2324560;1589220;985200;251240;1292300;975900;1514730;1647900;2215230;1998100;1366060;885040;367100
Insgesamt;79652360;100,0;3495660;4061390;4850310;4716000;6702750;5736550;4273360;3657710;1335380;3324400;3863550;4755690;4708320;6563650;5816510;4560900;4473360;2756870
;;;;;;;;;;;;;;;;;;;;
Für die Bevölkerung in bestimmten Gemeinschafts- und Anstaltsunterkünften (sog. sensible Sonderbereiche) liegen keine Stichprobeninformationen zur Religion vor. Aus diesem Grund können die Summen der Merkmalsausprägungen von der Gesamteinwohnerzahl der ausgewählten Einheit abweichen.
Im Ausland tätige Angehörige der Bundeswehr, der Polizeibehörden und des Auswärtigen Dienstes sowie ihre dort ansässigen Familien werden für dieses Ergebnis nicht berücksichtigt.
Die dargestellten Summenwerte werden stets auf Basis der ungerundeten Ausgangswerte ermittelt, weshalb diese von der Summe der ausgewiesenen Einzelwerte abweichen können.
Die relativen Ergebnisse beziehen sich auf die jeweilige Teilgesamtheit des betrachteten Merkmals der jeweiligen regionalen Einheit. Die relativen Werte wurden durch Division von Ergebnissen nach Durchführung der Geheimhaltung errechnet.
Bei der Differenzierung nach "Religion (ausführlich)" sind unter der Position "Sonstige" alle Personen zusammengefasst, die einer anderen öffentlich-rechtlichen Religionsgesellschaft angehören. Zu "Keiner ö.-r. Religionsgesellschaft zugehörig" zählen auch Personen, zu denen keine Informationen vorliegen.
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
© Statistische Ämter des Bundes und der Länder, 2014;;;;;;;;;;;;;;;;;;;;
Vervielfältigung und Verbreitung mit Quellenangabe gestattet.;;;;;;;;;;;;;;;;;;;;
