meta.uuid,More environmental protection,More wealth redistribution,Lower taxes,More jobs,Less immigration,Better schools,Better healthcare,Higher wages,Higher pensions,Better enforcement of law and order,Equal rights for minority groups,"Lower costs of living (e.g. rent, water, energy)","Better public services (e.g. transportation, waste management)","Better infrastructure (e.g. roads, sidewalks)",Other,None of these
0074a2d0-f1e9-0134-29b6-0aeaf0818377,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2
00a53110-ed52-0134-0bbe-0aeaf0818377,2,2,2,2,2,2,1,2,1,2,1,2,1,1,2,2
00c50de0-ee21-0134-cf12-0aeaf0818377,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,2
00e263a0-ef7d-0134-99b6-0aeaf0818377,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
00e66930-efd4-0134-8b54-0a6b3886cf3d,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2
013343b0-f07c-0134-ebbd-0aeaf0818377,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2,2
01448480-ef03-0134-735e-0a6b3886cf3d,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2
01742400-ee17-0134-a2ef-0a6b3886cf3d,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2
01808810-f13b-0134-30d5-0aeaf0818377,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2
01b7c270-f137-0134-2500-0aeaf0818377,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2
02107980-f1c6-0134-8dcc-0a6b3886cf3d,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2
024ce520-eeec-0134-2c14-0a6b3886cf3d,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
024eb270-f16a-0134-1511-0a6b3886cf3d,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2
02532b30-eefd-0134-62cd-0a6b3886cf3d,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2
02a73760-edc3-0134-bb30-0a6b3886cf3d,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2
02e8ee90-ec80-0134-6e22-0aeaf0818377,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2
02f66480-eb0a-0134-c001-0a6b3886cf3d,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2
02fb2e40-edff-0134-457e-0aeaf0818377,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2
03089070-f422-0134-e8d9-0a2d04121181,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2
038dac80-ed64-0134-6798-0a6b3886cf3d,2,2,1,1,2,2,2,2,1,1,2,2,2,1,2,2
03b56010-ed84-0134-0d20-0aeaf0818377,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2
03daa020-ed34-0134-e309-0aeaf0818377,2,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2
03e8db60-edca-0134-21a6-0aeaf0818377,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2
03f40e60-ed4c-0134-2b71-0aeaf0818377,1,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2
03f96ea0-eea4-0134-6f29-0aeaf0818377,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2
04099470-ee16-0134-fb36-0a6b3886cf3d,2,2,1,2,1,1,2,1,2,2,2,1,2,2,2,2
0456e620-ec90-0134-6a61-0aeaf0818377,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2
04bf9450-f119-0134-8fdd-0aeaf0818377,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2
05398430-eeae-0134-b615-0a6b3886cf3d,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2
0547fe60-ee23-0134-54c0-0a6b3886cf3d,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2
0548de80-ea51-0134-f458-0a6b3886cf3d,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2
057afa90-edf8-0134-02d9-0a6b3886cf3d,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2
058de5c0-ea7c-0134-1f05-0aeaf0818377,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2
05cafe40-f211-0134-37f6-0a6b3886cf3d,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
05ebc4d0-ea5c-0134-c671-0a6b3886cf3d,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2
05f50770-efa9-0134-fefe-0a6b3886cf3d,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2
06406220-eeac-0134-7979-0aeaf0818377,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2
0678ccb0-ed4b-0134-580c-0a6b3886cf3d,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2
0697e940-f447-0134-16f9-0aec2244eae5,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2
06b08a50-edd9-0134-a659-0aeaf0818377,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2
06b9baf0-ea3f-0134-dd0c-0aeaf0818377,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2
077bcf90-eb1f-0134-f174-0a6b3886cf3d,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2
078871e0-f0a6-0134-ee71-0a6b3886cf3d,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
078a20f0-ec7c-0134-a992-0a6b3886cf3d,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
078c4f80-ed32-0134-af07-0a6b3886cf3d,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2
07ce38a0-f049-0134-78c9-0a6b3886cf3d,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2
07feda40-f1f8-0134-dc42-0a6b3886cf3d,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2
0829c3b0-ed8b-0134-fa26-0a6b3886cf3d,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
0831b720-ed1c-0134-cb5d-0aeaf0818377,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2
0833f960-eb14-0134-defd-0a6b3886cf3d,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2
08833610-ecd0-0134-540a-0aeaf0818377,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2
08853040-ea47-0134-994e-0a6b3886cf3d,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2
089d4a30-f2fc-0134-58c7-0a7e36e19983,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2
