# (c) Statistisches Bundesamt, Wiesbaden 2014
# 
# Ergebnisse der repräsentativen Wahlstatistik zur Bundestagswahl 2013
# Wahlbeteiligung nach Geschlecht und Altersgruppen seit 1983
# 
Alter von ... bis unter ... Jahren;Wahlberechtigte1;Wähler;;;;;;;
;2013;;;2009;2005;2002;1990;1987;1983
;1000;1000;%;%;%;%;%;%;%
;;;;;;;;;
;Insgesamt;;;;;;;;
unter 21;2015,161251;1294,108244;64,21859506;62,95139255;69,9736964;70,2122808;64,7;76,8;84,3
21 - 25;3364,988832;2029,717248;60,31869197;59,11888729;66,50169442;68,14120851;61,8;73,1;81,5
25 - 30;4406,167631;2747,799897;62,3625819;61,15986588;70,08593582;72,12212044;66,3;75,9;83,8
30 - 35;4289,57268;2811,160424;65,53474281;65,07354808;74,46590092;76,68551357;71,3;80,3;87
35 - 40;3922,050057;2694,45334;68,70012623;68,93100931;78,41717761;79,57879712;75,7;83,8;89,3
40 - 45;4776,95622;3458,111281;72,39152133;72,35426466;79,7045795;80,03054929;79,5;86;91,1
45 - 50;6319,946368;4718,52304;74,66080826;73,16023314;80,17143345;81,05843951;82,1;87,9;92,2
50 - 60;11521,11316;8698,572902;75,5011498;74,76522852;82,48280058;83,97554057;84,6;89,4;92,7
60 - 70;8504,104286;6784,026282;79,77355467;80,01087808;85,0371836;86,35697156;86,5;89,7;92,3
70 und mehr;12826,83952;9598,277342;74,82963615;72,82128252;76,65371335;78,43590656;74,5;79,4;84,9
Insgesamt;61946,9;44834,75;72,37609953;71,40867205;78,283209;79,63420252;76,3;83,1;88,4
;Männer;;;;;;;;
unter 21;1031,147237;663,637609;64,35915118;63,17666901;70,29697046;70,31404644;66,3;78,9;85,4
21 - 25;1699,897437;1018,371137;59,90779883;59,37088079;66,08101115;67,80844034;63,2;74,4;82,2
25 - 30;2234,006961;1372,178207;61,42228878;60,34265042;68,98756687;71,45861276;66,3;76,6;83,9
30 - 35;2173,861628;1403,012799;64,5401152;64,24438318;73,09313023;75,42284029;70,6;80,2;86,6
35 - 40;1984,524644;1345,943746;67,82197189;67,95962851;77,00073864;78,56634049;75,2;83,7;89
40 - 45;2410,284215;1714,780796;71,14433995;71,55548627;78,80490988;79,13767708;79,3;85,8;90,8
45 - 50;3189,646723;2358,131719;73,9308119;72,57523224;79,07378923;80,42177002;82,2;88;92,3
50 - 60;5742,950761;4317,946486;75,18689723;74,33203086;81,86212018;83,62459016;85;90;93,2
60 - 70;4108,179897;3282,150761;79,8930632;80,38470419;85,51780981;86,86043828;88,2;91,5;93,6
70 und mehr;5284,425656;4223,918488;79,93145827;78,44632522;82,67882262;84,37299222;81,3;85,1;88,5
Zusammen;29858,92516;21700,07175;72,67532784;71,81639224;78,50304078;79,90272945;77;84,2;89,1
;Frauen;;;;;;;;
unter 21;984,0140142;630,4706346;64,07130646;62,7156199;69,63344105;70,11213394;63,1;74,6;83,2
21 - 25;1665,091394;1011,346111;60,73817416;58,86147927;66,93527208;68,48373177;60,4;71,7;80,6
25 - 30;2172,16067;1375,621691;63,32964727;61,99594777;71,21596729;72,79741338;66,4;75,2;83,7
30 - 35;2115,711053;1408,147625;66,55670788;65,92965809;75,8803345;77,99025101;72,1;80,3;87,4
35 - 40;1937,525413;1348,509594;69,59958228;69,92745128;79,88331394;80,62830107;76,3;83,9;89,7
40 - 45;2366,672005;1743,330485;73,66168533;73,17194595;80,63321477;80,9502953;79,8;86,3;91,3
45 - 50;3130,299644;2360,391321;75,40464457;73,75422517;81,28878998;81,69567446;82;87,9;92
50 - 60;5778,162394;4380,626416;75,81348735;75,19238351;83,09617109;84,32176477;84,2;88,8;92,2
60 - 70;4395,924389;3501,87552;79,66186882;79,66513864;84,5977144;85,89627489;85,3;88,4;91,5
70 und mehr;7542,413864;5374,358854;71,25515718;69,09075697;73,06007848;75,15031466;71,3;76,5;82,9
Zusammen;32087,97484;23134,67825;72,09765766;71,0313738;78,08127907;79,38965084;75,7;82,1;87,8
;;;;;;;;;
;;;;;;;;;
1983 und 1987: früheres Bundesgebiet.;;;;;;;;;
2002 bis 2013: Anteil der Summe aus Wählern mit Stimmvermerk und Wahlberechtigten mit Wahlscheinvermerk im Wählerverzeichnis an den Wahlberechtigten insgesamt (nur Urnenwahlbezirke).;;;;;;;;;
1983 bis 1990: Ohne Personen mit Wahlschein.;;;;;;;;;
