Parteien,Erststimmen_n,Erststimmen_pct,Erststimmen_delta09,Zweitstimmen_n,Zweitstimmen_pct,Zweitstimmen_delta09
Wahlberechtigte,61946900,NA,NA,NA,NA,NA
Waehler,44309925,71.5,0.7,NA,NA,NA
Ungueltige,684883,1.5,-0.2,583069,1.3,-0.1
Gueltige,43625042,98.5,0.2,43726856,98.7,0.1
CDU,16233642,37.2,5.2,14921877,34.1,6.9
SPD,12843458,29.4,1.5,11252215,25.7,2.7
FDP,1028645,2.4,-7.1,2083533,4.8,-9.8
DIE LINKE,3585178,8.2,-2.9,3755699,8.6,-3.3
GRUENE,3180299,7.3,-1.9,3694057,8.4,-2.3
CSU,3544079,8.1,0.7,3243569,7.4,0.9
PIRATEN,963623,2.2,2.1,959177,2.2,0.2
NPD,635135,1.5,-0.3,560828,1.3,-0.2
Tierschutzpartei,4437,0,0,140366,0.3,-0.2
REP,27299,0.1,0,91193,0.2,-0.2
OEDP,128209,0.3,0,127088,0.3,0
FAMILIE,4478,0,0,7449,0,-0.3
Buendnis 21/RRP,5324,0,-0.1,8578,0,-0.2
RENTNER,920,0,NA,25134,0.1,-0.1
BP,28,0.1,0,57395,0.1,0
PBC,2081,0,0,18542,0,-0.1
BueSo,17988,0,0,12814,0,-0.1
DIE VIOLETTEN,2516,0,0,8211,0,-0.1
MLPD,12904,0,0,24219,0.1,0
Volksabstimmung,1748,0,0,28654,0.1,0
PSG,NA,NA,NA,4564,0,0
AfD,810915,1.9,NA,2056985,4.7,NA
BIG,3,0,NA,17743,0,NA
pro Deutschland,4815,0,NA,73854,0.2,NA
DIE RECHTE,NA,NA,NA,2245,0,NA
DIE FRAUEN,NA,NA,NA,12148,0,NA
FREIE WAEHLER,432,1,NA,423977,1,NA
Nichtwaehler,NA,NA,NA,11349,0,NA
PARTEI DER VERNUNFT,3861,0,NA,24719,0.1,NA
Die PARTEI,39388,0.1,NA,78674,0.2,NA
B,624,0,NA,NA,NA,NA
BGD,1431,0,NA,NA,NA,NA
DKP,1699,0,0,NA,NA,NA
NEIN!,290,0,NA,NA,NA,NA
Uebrige,77306,0.2,-0.2,NA,NA,NA
