# (c) Statistisches Bundesamt, Wiesbaden 2014
# 
# Ergebnisse der repräsentativen Wahlstatistik zur Bundestagswahl 2013
# Wahlberechtigte, Wähler und Wahlbeteiligung nach Geschlecht und Altersgruppen in den Ländern 2013
# 
Geburtsjahresgruppe;Alter von ... bis unter ... Jahren;Insgesamt;;;;;;;;;Männer;;;;;;;;;Frauen;;;;;;;;
;;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1
;;insgesamt;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;
;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;
;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Schleswig-Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;73,9000587;3,281827426;6,191528517;1,981790122;67,70853019;3,491255182;39,90033295;2,959262857;62,37053431;37,56595989;3,477857681;3,018329601;2,119397482;34,54763029;3,684082562;20,32828263;3,117303843;62,14831807;36,33409882;3,101106644;3,173198916;1,866516373;33,1608999;3,310723191;19,57205032;2,811232195;62,60028451
1989 - 1992;21 - 25;124,3690936;5,523106606;14,72852689;4,714320384;109,6405667;5,653396932;56,94294555;4,223251569;57,62804113;62,58877151;5,794470323;6,470796041;4,543635271;56,11797547;5,984296264;29,91864605;4,587968005;58,14052779;61,78032212;5,272935717;8,257730845;4,857303382;53,52259127;5,343596968;27,0242995;3,881636291;57,10884815
1984 - 1988;25 - 30;147,2568512;6,539528944;16,03308714;5,131885224;131,223764;6,76629141;72,4241708;5,371437849;60,0700458;75,11578175;6,954221303;7,736879974;5,432648552;67,37890178;7,185136434;36,18044994;5,548203834;58,46618232;72,14106942;6,157223021;8,296207162;4,879935646;63,84486226;6,374153498;36,24372086;5,205868231;61,74004404
1979 - 1983;30 - 35;145,8523068;6,477154539;15,01125417;4,804815993;130,8410526;6,746557662;80,6379414;5,980623398;65,57948767;72,15730656;6,680325582;7,183811122;5,044297083;64,97349544;6,928629245;39,12463583;5,999689194;64,17707251;73,69500026;6,289850646;7,827443052;4,604202573;65,86755721;6,576095637;41,51330557;5,962765231;66,95264054
1974 - 1978;35 - 40;136,3382964;6,054646888;11,93593877;3,820466221;124,4023577;6,414559209;80,56621443;5,975303669;67,84752019;68,13246329;6,307705473;5,519603451;3,875731017;62,61285984;6,676896308;39,18494698;6,008937794;65,61417021;68,20583314;5,821351545;6,416335323;3,774170876;61,78949781;6,168949696;41,38126745;5,94379993;70,07846773
